"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J9";"GND_Bridge";1;"GND Bridge 2";;;
2;"D12,D5,D4,D13,D9,D7,D8,D6,D10,D11";"DIO_RB051MM_ROM-M";10;"D";;;
3;"M3,M7,M2,M8,M9,M6,M1,M5,M10,M4";"Molex_Screw_Term_0397730002";10;"Motor_DC";;;
4;"C8,C4,C6,C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"10u";;;
5;"J8";"GND_Bridge";1;"GND Bridge 1";;;
6;"J5,J4";"Pwr_Rail_Conn_Custom";2;"3.3V_Power_Rail";;;
7;"C3,C1,C5,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"22u";;;
8;"L1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"3.3u";;;
9;"D3,D1,D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"LED";;;
10;"R1,R5,R2,R4,R9,R3,R8";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";7;"10k";;;
11;"C9,C12,C10,C11";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";4;"0.1u";;;
12;"L2";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"2.2u";;;
13;"J7,J6";"Pwr_Rail_Conn_Custom";2;"GND_Rail";;;
14;"F2,F1,F3";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";3;"Fuse";;;
15;"U1,U2";"TPS565201";2;"TPS565201";;;
16;"J1";"Molex_Screw_Term_0397730002";1;"Battery Connector";;;
17;"J3,J2";"Pwr_Rail_Conn_Custom";2;"5V_Power_Rail";;;
18;"R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"56k";;;
19;"J10";"GND_Bridge";1;"GND_Bridge_3";;;
20;"SW1";"Molex_Screw_Term_0397730002";1;"Emergency Stop";;;
21;"R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"33k";;;
