Designator,Mid X,Mid Y,Rotation,Layer
C1,173.3125,-53.5,0.0,top
C10,131.75,-76.25,180.0,top
C11,189.5625,-60.0,0.0,top
C12,137.5,-59.75,0.0,top
C2,121.25,-53.5,0.0,top
C3,173.3125,-57.75,0.0,top
C4,184.0625,-67.5,180.0,top
C5,121.25,-57.75,0.0,top
C6,131.75,-67.25,180.0,top
C7,184.125,-72.0,180.0,top
C8,131.75,-71.75,180.0,top
C9,184.0625,-76.5,180.0,top
D1,167.0,-69.5,270.0,top
D10,100.266,-71.0385,270.0,top
D11,216.0,-60.54485,90.0,top
D12,216.0,-80.5,90.0,top
D13,100.5,-81.0,270.0,top
D2,116.0,-69.0,270.0,top
D3,98.8,-36.0,90.0,top
D4,100.266,-50.524,270.0,top
D5,216.0,-50.17025,90.0,top
D6,216.5,-91.0,90.0,top
D7,100.266,-60.3981,270.0,top
D8,216.0,-70.71,90.0,top
D9,100.5,-92.0,270.0,top
F1,162.5,-63.0,0.0,top
F2,111.252,-62.738,0.0,top
F3,104.8,-33.8,270.0,top
J1,92.0,-29.0,270.0,top
J2,159.873,-100.305,270.0,top
J3,171.74,-29.0,270.0,top
J4,159.873,-88.305,270.0,top
J5,171.74,-41.0,270.0,top
J6,159.873,-94.305,270.0,top
J7,171.74,-35.0,270.0,top
L1,175.0625,-62.25,0.0,top
L2,123.0,-62.0,0.0,top
M1,91.766,-50.524,270.0,top
M10,92.0,-81.0,270.0,top
M2,91.798,-60.3981,270.0,top
M3,92.0,-92.0,270.0,top
M4,91.782,-71.0385,270.0,top
M5,225.0,-50.17025,90.0,top
M6,225.0,-91.0,90.0,top
M7,225.0,-60.43645,90.0,top
M8,225.0729,-70.71,90.0,top
M9,225.0557,-80.1851,90.0,top
R1,171.0,-69.5,270.0,top
R2,119.25,-69.0,270.0,top
R3,98.75,-29.2,270.0,top
R4,142.25,-62.15,270.0,top
R5,194.0625,-62.25,270.0,top
R6,147.75,-62.15,90.0,top
R7,200.0625,-62.25,90.0,top
R8,197.0625,-67.5,270.0,top
R9,145.25,-67.75,270.0,top
SW1,92.0,-40.0,270.0,top
U1,185.8625,-63.30375,0.0,top
U2,133.75,-63.25,0.0,top
